scenario,Metro,buy_share,avg_delta,count
Base,"Aberdeen, SD",0.0,43467.3387087321,1
Base,"Aberdeen, WA",0.0,51174.57823492647,2
Base,"Abilene, TX",0.4581005586592179,3313.712564657825,5
Base,"Ada, OK",0.0,24369.101042243656,1
Base,"Akron, OH",0.7127937336814621,-2070.990106491082,23
Base,"Alamogordo, NM",0.0,6989.461219203568,1
Base,"Albany, GA",0.15151515151515152,8372.583230378299,4
Base,"Albany-Lebanon, OR",0.0,73661.23245615384,3
Base,"Albany-Schenectady-Troy, NY",0.09347442680776014,50623.96505033851,22
Base,"Albert Lea, MN",0.0,27981.13903380965,1
Base,"Albuquerque, NM",0.008356545961002786,38136.65416521669,19
Base,"Alexandria, LA",1.0,-11875.130149516637,1
Base,"Alexandria, MN",0.0,75112.67197841508,1
Base,"Allentown-Bethlehem-Easton, PA-NJ",0.19686411149825783,24599.659033976644,25
Base,"Altoona, PA",0.46153846153846156,8179.122958556095,3
Base,"Amarillo, TX",0.13114754098360656,21649.148471436623,8
Base,"Ames, IA",0.0,45155.81132483712,4
Base,"Amsterdam, NY",0.0,25886.41484213936,1
Base,"Anchorage, AK",0.0,54922.7984482191,14
Base,"Ann Arbor, MI",0.09386973180076628,47356.89964925554,7
Base,"Anniston-Oxford, AL",0.0,26032.22494534706,3
Base,"Appleton, WI",0.0,47682.49870484977,4
Base,"Ardmore, OK",0.0,19689.580464163355,1
Base,"Asheville, NC",0.0,81789.13455593077,16
Base,"Ashland, OH",0.0,43215.765114518734,1
Base,"Astoria, OR",0.0,107885.9907964419,3
Base,"Athens, OH",0.0,40028.16833572715,1
Base,"Athens, TN",0.0,50135.396630585,2
Base,"Athens, TX",0.0,30547.581239200088,2
Base,"Athens-Clarke County, GA",0.023166023166023165,25781.34886560261,4
Base,"Atlanta-Sandy Springs-Alpharetta, GA",0.217440543601359,42073.94808495093,150
Base,"Atlantic City-Hammonton, NJ",0.1092436974789916,109998.31282977125,8
Base,"Auburn, IN",0.0,48982.844222080625,1
Base,"Auburn, NY",0.0,17544.21202543294,1
Base,"Auburn-Opelika, AL",0.008928571428571428,53092.50467609464,5
Base,"Augusta-Richmond County, GA-SC",0.3940774487471526,6797.238229362434,12
Base,"Augusta-Waterville, ME",0.0,41840.87134205816,3
Base,"Austin, MN",0.0,29145.45728040258,1
Base,"Austin-Round Rock-Georgetown, TX",0.006772009029345372,98691.91687063596,69
Base,"Bakersfield, CA",0.0,40244.308558885394,16
Base,"Baltimore-Columbia-Towson, MD",0.345088161209068,27718.392558078544,72
Base,"Bangor, ME",0.0,26160.711973354995,2
