date,state,property_tax_usd_millions,total_tax_usd_millions,property_tax_share
1942-01-01,AL,5302.0,51643.0,0.10266638266560811
1943-01-01,AL,,,
1944-01-01,AL,5862.0,60694.0,0.09658285827264639
1945-01-01,AL,,,
1946-01-01,AL,6314.0,66607.0,0.09479484138303781
1947-01-01,AL,,,
1948-01-01,AL,6339.0,94402.0,0.06714900108048558
1949-01-01,AL,,,
1950-01-01,AL,7145.0,115918.0,0.06163839955830846
1951-01-01,AL,7403.0,116921.0,0.0633162562756049
1952-01-01,AL,8237.0,131670.0,0.06255790992633098
1953-01-01,AL,8623.0,158963.0,0.05424532752904764
1954-01-01,AL,9161.0,159890.0,0.0572956407530177
1955-01-01,AL,9681.0,163205.0,0.05931803559939953
1956-01-01,AL,10631.0,220461.0,0.048221680932228374
1957-01-01,AL,11366.0,229647.0,0.049493352841535054
1958-01-01,AL,12105.0,233028.0,0.05194654719604511
1959-01-01,AL,12809.0,246649.0,0.051932097839439854
1960-01-01,AL,13220.0,273718.0,0.04829788322287902
1961-01-01,AL,14121.0,279475.0,0.050526880758565165
1962-01-01,AL,14957.0,304369.0,0.049141009761178044
1963-01-01,AL,16118.0,327399.0,0.04923044969593676
1964-01-01,AL,16858.0,384054.0,0.04389486895072047
1965-01-01,AL,17769.0,421096.0,0.04219702870604328
1966-01-01,AL,22995.0,463013.0,0.04966383233300145
1967-01-01,AL,20141.0,483064.0,0.04169426825430999
1968-01-01,AL,20847.0,530662.0,0.039284893208859875
1969-01-01,AL,21548.0,575154.0,0.037464748571686884
1970-01-01,AL,22853.0,657361.0,0.03476476395770361
1971-01-01,AL,24020.0,710351.0,0.033814269283776614
1972-01-01,AL,25355.0,817671.0,0.031008804274579874
1973-01-01,AL,27498.0,931001.0,0.029535951089203986
1974-01-01,AL,26447.0,1017367.0,0.025995535534374517
1975-01-01,AL,28593.0,1111317.0,0.02572893242882094
1976-01-01,AL,31381.0,1243258.0,0.025240939531456865
1977-01-01,AL,34095.0,1403674.0,0.024289827980001056
1978-01-01,AL,53877.0,1588761.0,0.033911330905025995
1979-01-01,AL,43417.0,1747350.0,0.02484734025810513
1980-01-01,AL,44287.0,1856789.0,0.023851390761147336
1981-01-01,AL,46192.0,2148415.0,0.02150050153252514
1982-01-01,AL,45681.0,2192251.0,0.020837486218503263
1983-01-01,AL,53285.0,2341219.0,0.02275951117772408
1984-01-01,AL,57768.0,2704250.0,0.021361930294906167
1985-01-01,AL,61471.0,2941336.0,0.020899006437890808
